"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321209,88,6th & Water St SW / SW Waterfront,31609,38.87675,-77.02127,YES,NO,1969-12-31T20:00:00.000Z,,NO,11,7,398154.35666339,134324.58543011,
74321210,89,D St & Maryland Ave NE,31612,38.894758,-76.997114,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,22,400250.36118988,136323.40169319,
74321211,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,6,394085.43254774,138732.70732736,
74321212,91,13th St & New York Ave NW,31227,38.900283,-77.029822,YES,NO,1969-12-31T20:00:00.000Z,,NO,13,9,397413.13477499,136937.13928906,
74321213,92,8th & H St NW,31228,38.8997,-77.023086,YES,NO,1969-12-31T20:00:00.000Z,,NO,23,9,397997.42273853,136872.25229554,
74321214,93,10th & Monroe St NE,31504,38.932514,-76.992889,YES,NO,1969-12-31T20:00:00.000Z,,NO,8,3,400616.55446976,140514.65083001,
74321215,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,9,399570.68391328,138123.29427771,
74321216,95,6th & H St NE,31615,38.899972,-76.998347,YES,NO,1969-12-31T20:00:00.000Z,,NO,15,6,400143.38766466,136902.19455674,
74321217,96,3rd & H St NE,31616,38.900412,-77.001949,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,10,399830.93718412,136951.03859198,
74321218,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,7,401485.74030431,136951.28717624,
74321219,98,4th & East Capitol St NE,31618,38.889955,-77.000349,YES,NO,1969-12-31T20:00:00.000Z,,NO,2,8,399969.72212823,135790.22701798,
74321220,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,19,401010.26737857,135846.46135466,
74321221,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,1969-12-31T20:00:00.000Z,,NO,2,9,403479.93073282,133487.02816607,
74321222,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,27,401072.83909032,136331.6849909,
74321223,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,22,396688.84082399,138631.06089313,
74321224,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,1969-12-31T20:00:00.000Z,,NO,25,2,397582.47982913,136724.06141167,
74321225,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,YES,NO,1969-12-31T20:00:00.000Z,,NO,24,0,397257.20836553,136296.78677707,
74321226,105,7th & F St NW / National Portrait Gallery,31232,38.897324,-77.022322,YES,NO,1969-12-31T20:00:00.000Z,,NO,14,12,398063.63083408,136608.48084532,
74321227,106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,YES,NO,1969-12-31T20:00:00.000Z,,NO,12,19,396675.89775652,137134.78675859,
